Event ID,Magnitude,Datetime UTC,Latitude,Longitude,Region,Depth(KM,Auth
20181114_0000012,ml 2.1,2018-11-14T00:51:29.8Z,39.75,39.08,EASTERN TURKEY,7,DDA
20181114_0000020,ml 2.9,2018-11-14T00:36:36.7Z,37.28,20.59,IONIAN SEA,11,THE
20181114_0000019,md 3.2,2018-11-14T00:20:59.8Z,19.67,-65.11,VIRGIN ISLANDS REGION,49,NEIR
20181114_0000001,mb 4.9,2018-11-14T00:10:33.9Z,19.6,-65.11,VIRGIN ISLANDS REGION,38,NEIC
20181113_0000118,md 3.2,2018-11-13T23:34:42.7Z,18.67,-64.66,VIRGIN ISLANDS REGION,32,NEIR
20181113_0000116,ml 2.0,2018-11-13T23:32:10.3Z,42.95,13.15,CENTRAL ITALY,9,ROM
20181113_0000115,ml 3.0,2018-11-13T23:22:17.0Z,-21.09,-68.93,"TARAPACA, CHILE",113,GUC
20181113_0000114,ml 2.0,2018-11-13T23:16:23.2Z,38.33,-115.77,NEVADA,1,NN
20181113_0000112,ml 3.5,2018-11-13T22:53:48.5Z,37.54,20.39,IONIAN SEA,2,EMSC
20181113_0000113,md 3.4,2018-11-13T22:52:02.0Z,17.97,-68.54,DOMINICAN REPUBLIC REGION,135,NEIR
20181113_0000117,ml 2.9,2018-11-13T22:49:29.0Z,69.58,-144.47,NORTHERN ALASKA,10,NEIC
20181113_0000111,ml 4.1,2018-11-13T22:48:50.0Z,-21.87,-67.58,"POTOSI, BOLIVIA",218,GUC
20181113_0000110,ml 2.5,2018-11-13T22:37:10.5Z,31.81,-116.36,"BAJA CALIFORNIA, MEXICO",11,NEIR
20181113_0000121,ml 2.1,2018-11-13T22:11:52.0Z,49.36,-120.63,"BRITISH COLUMBIA, CANADA",5,NEIR
20181113_0000108,ml 2.0,2018-11-13T21:10:56.2Z,38.94,26.53,NEAR THE COAST OF WESTERN TURKEY,7,DDA
20181113_0000109,mb 4.8,2018-11-13T21:09:31.0Z,45.2,150.54,KURIL ISLANDS,40,EMSC
20181113_0000106,m 4.1,2018-11-13T21:07:36.0Z,15.21,-94.63,"OFF COAST OF OAXACA, MEXICO",17,UNM
20181113_0000105,ml 3.5,2018-11-13T20:51:56.3Z,36.99,20.63,CENTRAL MEDITERRANEAN SEA,10,EMSC
20181113_0000123,ml 2.8,2018-11-13T20:28:53.2Z,36.47,-98.77,OKLAHOMA,6,NEIC
20181113_0000103,ml 3.6,2018-11-13T20:26:31.8Z,37.81,20.66,IONIAN SEA,2,EMSC
